,Link,Posting Date,vacant_form,vacant_till
113,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Sendling.9677490.html,18.10.2022,01.11.2022,"01.09.2024

"
114,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Munchen-Munchen.9680289.html,18.10.2022,15.01.2023,"

"
115,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Ottobrunn.9054024.html,18.10.2022,01.11.2022,"

"
116,https://www.wg-gesucht.de/1-zimmer-wohnungen-in-Munchen-Thalkirchen-Obersendling-Forstenried-Furstenried-S.6997136.html,18.10.2022,02.11.2022,"16.11.2022

"
117,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Schwanthalerhoehe.9680061.html,18.10.2022,01.11.2022,"

"
118,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Ludwigsvorstadt-Isarvorstadt.9663872.html,18.10.2022,18.10.2022,"

"
119,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Ludwigsvorstadt-Isarvorstadt.9448623.html,18.10.2022,18.10.2022,"

"
120,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Schwabing-West.7523387.html,18.10.2022,01.11.2022,"20.12.2022

"
121,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Obergiesing-Fasangarten.7302900.html,18.10.2022,01.11.2022,"

"
122,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Munchen.9686949.html,18.10.2022,01.11.2022,"

"
123,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Au-Haidhausen.9246842.html,18.10.2022,01.12.2022,"

"
124,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Ludwigsvorstadt-Isarvorstadt.9024627.html,18.10.2022,19.12.2022,"05.04.2023

"
125,https://www.wg-gesucht.de/wohnungen-in-Munchen-Kleinhadern.9646321.html,18.10.2022,01.11.2022,"01.10.2024

"
126,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Karlsfeld.8086080.html,18.10.2022,01.03.2023,"31.08.2023

"
127,https://housinganywhere.com/de/s/M%C3%BCnchen--Deutschland/wg-zimmer?utm_source=wg-gesucht&utm_medium=affiliate&affiliate_partner_id=32473&utm_campaign=top-placement&utm_content=munich&utm_term=website,19.10.2022,20.10.2022,"

"
128,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Sendling.8645563.html,18.10.2022,01.12.2022,"

"
129,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Fasernerie.4645811.html,18.10.2022,01.01.2023,"31.12.2023

"
130,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Bogenhausen.5849504.html,18.10.2022,01.11.2022,"

"
131,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Au-Haidhausen.7256332.html,18.10.2022,18.10.2022,"15.10.2023

"
132,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Altstadt-Lehel.7329939.html,18.10.2022,01.12.2022,"

"
133,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Maxvorstadt.9369914.html,18.10.2022,18.10.2022,"

"
134,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Altstadt-Lehel.8698008.html,18.10.2022,01.11.2022,"

"
135,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Bogenhausen.9668674.html,18.10.2022,31.10.2022,"27.11.2022

"
136,https://www.wg-gesucht.de/wohnungen-in-Munchen-Aubing-Lochhausen-Langwied.9683731.html,18.10.2022,01.01.2023,"

"
137,https://www.wg-gesucht.de/wohnungen-in-Munchen-Giesing.9616043.html,18.10.2022,01.11.2022,"30.11.2022

"
138,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Schwanthalerhoehe.8810365.html,18.10.2022,15.11.2022,"

"
139,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Neuhausen-Nymphenburg.9685193.html,18.10.2022,01.11.2022,"

"
140,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Sendling-Westpark.4883976.html,18.10.2022,28.02.2023,"

"
141,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Neuhausen-Nymphenburg.9675742.html,18.10.2022,01.11.2022,"

"
142,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Obergiesing.9686684.html,18.10.2022,01.11.2022,"11.12.2022

"
143,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Munchen.9526196.html,18.10.2022,19.10.2022,"

"
144,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Au-Haidhausen.9686409.html,18.10.2022,01.11.2022,"

"
145,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Altstadt-Lehel.3727038.html,18.10.2022,19.10.2022,"

"
146,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Sendling.4026290.html,18.10.2022,15.11.2022,"

"
147,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Neuhausen-Nymphenburg.9679248.html,18.10.2022,01.12.2022,"

"
148,https://housinganywhere.com/de/s/M%C3%BCnchen--Deutschland/wg-zimmer?utm_source=wg-gesucht&utm_medium=affiliate&affiliate_partner_id=32473&utm_campaign=top-placement&utm_content=munich&utm_term=website,19.10.2022,20.10.2022,"

"
149,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Munchen--Untergiesing-Harlaching.9686455.html,18.10.2022,23.10.2022,"31.01.2023

"
150,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Maxvorstadt.9639075.html,18.10.2022,01.11.2022,"

"
151,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Feldmoching-Hasenbergl.6469344.html,18.10.2022,18.10.2022,"31.12.2023

"
152,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Schwabing.4289676.html,18.10.2022,01.01.2023,"01.08.2023

"
153,https://www.wg-gesucht.de/wg-zimmer-in-Munchen-Feldmoching-Hasenbergl.9660596.html,18.10.2022,01.11.2022,"

"
